"NombreMunicipio","CodigoMunicipio","Ubicacion","NombreRegion","CodigoRegion","Año","NumeroCasos","TasaXMilHabitantes"
"Abejorral","05002","POINT (-75.427045 5.79145)","ORIENTE","7","2005","146","7.2"
"Abriaquí","05004","POINT (-76.064563 6.63197)","OCCIDENTE","6","2005","13","4.8"
"Alejandría","05021","POINT (-75.141258 6.376923)","ORIENTE","7","2005","27","7.1"
"Amagá","05030","POINT (-75.703216 6.04063)","SUROESTE","8","2005","137","5"
"Amalfi","05031","POINT (-75.075028 6.907385)","NORDESTE","4","2005","112","5.5"
"Andes","05034","POINT (-75.877699 5.655629)","SUROESTE","8","2005","230","5.5"
"Angelópolis","05036","POINT (-75.710262 6.111531)","SUROESTE","8","2005","43","5.6"
"Angostura","05038","POINT (-75.334973 6.885789)","NORTE","5","2005","55","4.4"
"Anorí","05040","POINT (-75.145827 7.073577)","NORDESTE","4","2005","84","5.6"
"Anzá","05044","POINT (-75.854027 6.303405)","OCCIDENTE","6","2005","37","5"
"Apartadó","05045","POINT (-76.630692 7.887047)","URABA","9","2005","369","2.8"
"Arboletes","05051","POINT (-76.427353 8.852936)","URABA","9","2005","79","2.6"
"Argelia","05055","POINT (-75.142821 5.731236)","ORIENTE","7","2005","48","4.8"
"Armenia","05059","POINT (-75.787666 6.156497)","OCCIDENTE","6","2005","28","5.4"
"Barbosa","05079","POINT (-75.331286 6.437248)","VALLE DE ABURRA","1","2005","239","5.6"
"Bello","05088","POINT (-75.558281 6.334985)","VALLE DE ABURRA","1","2005","1572","4.2"
"Belmira","05086","POINT (-75.667252 6.606713)","NORTE","5","2005","34","5.5"
"Betania","05091","POINT (-75.976261 5.745292)","SUROESTE","8","2005","43","4.2"
"Betulia","05093","POINT (-75.984594 6.113454)","SUROESTE","8","2005","86","5.1"
"Briceño","05107","POINT (-75.551532 7.110465)","NORTE","5","2005","44","5"
"Buriticá","05113","POINT (-75.907102 6.719872)","OCCIDENTE","6","2005","24","3.5"
"Cáceres","05120","POINT (-75.347874 7.582281)","BAJO CAUCA","2","2005","104","3.6"
"Caicedo","05125","POINT (-75.982545 6.406072)","OCCIDENTE","6","2005","58","7.5"
"Caldas","05129","POINT (-75.635534 6.09199)","VALLE DE ABURRA","1","2005","360","5.3"
"Campamento","05134","POINT (-75.29634 6.979113)","NORTE","5","2005","42","4.3"
"Cañasgordas","05138","POINT (-76.025603 6.749957)","OCCIDENTE","6","2005","90","5.4"
"Caracolí","05142","POINT (-74.756712 6.410876)","MAGDALENA MEDIO","3","2005","37","7.6"
"Caramanta","05145","POINT (-75.644483 5.548681)","SUROESTE","8","2005","45","8.2"
"Carepa","05147","POINT (-76.655568 7.755937)","URABA","9","2005","133","3.1"
"Carolina","05150","POINT (-75.281494 6.723626)","NORTE","5","2005","27","6.8"
"Caucasia","05154","POINT (-75.197397 7.989436)","BAJO CAUCA","2","2005","318","3.6"
"Chigorodó","05172","POINT (-76.685044 7.672652)","URABA","9","2005","219","3.7"
"Cisneros","05190","POINT (-75.087684 6.538526)","NORDESTE","4","2005","83","8.6"
"Ciudad Bolívar","05101","POINT (-76.020994 5.850015)","SUROESTE","8","2005","155","5.5"
"Cocorná","05197","POINT (-75.185273 6.057769)","ORIENTE","7","2005","103","6.8"
"Concepción","05206","POINT (-75.259425 6.394975)","ORIENTE","7","2005","21","4.7"
"Concordia","05209","POINT (-75.907256 6.046154)","SUROESTE","8","2005","95","4.4"
"Copacabana","05212","POINT (-75.508181 6.346097)","VALLE DE ABURRA","1","2005","291","4.8"
"Dabeiba","05234","POINT (-76.266682 7.001567)","OCCIDENTE","6","2005","155","6.4"
"Donmatías","05237","POINT (-75.394608 6.486305)","NORTE","5","2005","61","3.4"
